Order Date,Product Name,category,Region,Orders,Revenue,Profit,Expense
2023-06-06,Mouse,Accessories,South,7,2842,425.24,2416.76
2024-02-01,Mouse,Accessories,East,4,3404,392.22,3011.78
2023-05-31,Smartwatch,Electronics,West,1,1065,228.63,836.37
2024-06-14,Tablet,Electronics,West,7,2149,121.69,2027.31
2024-08-14,Keyboard,Accessories,East,8,5912,1143.04,4768.96
2023-02-01,Mouse,Accessories,West,3,3348,331.28,3016.72
2024-04-28,Smartphone,Electronics,South,3,2409,531.79,1877.21
2024-04-05,Tablet,Electronics,North,2,328,39.51,288.49
2024-01-31,Smartphone,Electronics,West,8,6224,1561.42,4662.58
2024-01-09,Smartwatch,Electronics,North,5,2530,486.09,2043.91
2022-04-06,Headphones,Accessories,West,4,4108,462.17,3645.83
2024-05-22,Printer,Office,South,5,1640,391.36,1248.64
2023-12-30,Laptop,Electronics,South,1,111,19.33,91.67
2022-03-17,Headphones,Accessories,North,1,445,128.89,316.11
2022-05-24,Printer,Office,North,4,3600,623.72,2976.28
2024-06-09,Mouse,Accessories,North,3,1335,176.44,1158.56
2024-12-01,Keyboard,Accessories,South,5,3090,242.15,2847.85
2023-10-20,Printer,Office,East,5,3910,538.52,3371.48
2024-03-05,Camera,Electronics,South,1,219,32.67,186.33
2022-12-05,Smartphone,Electronics,West,5,390,27.77,362.23
2022-08-05,Laptop,Electronics,North,6,3294,359.61,2934.39
2023-03-21,Keyboard,Accessories,West,4,4572,1038.05,3533.95
2022-02-08,Monitor,Accessories,South,7,980,109.94,870.06
2023-04-01,Headphones,Accessories,North,2,2262,532.12,1729.88
2022-12-14,Camera,Electronics,South,7,7518,1655.91,5862.09
2022-05-14,Camera,Electronics,South,1,873,158.97,714.03
2022-02-16,Mouse,Accessories,North,6,1512,423.03,1088.97
2024-08-28,Laptop,Electronics,West,1,705,165.16,539.84
2023-10-30,Smartwatch,Electronics,North,8,3256,533.7,2722.3
2023-06-24,Tablet,Electronics,West,4,556,81.77,474.23
2023-05-17,Mouse,Accessories,East,9,7101,2105.82,4995.18
2023-04-06,Laptop,Electronics,West,9,8802,1344.96,7457.04
2023-03-26,Headphones,Accessories,South,6,5592,1294.16,4297.84
2024-10-12,Tablet,Electronics,North,2,1852,168.92,1683.08
2022-06-26,Monitor,Accessories,East,1,195,57.88,137.12
2022-04-15,Mouse,Accessories,East,9,7884,2054.02,5829.98
2023-12-10,Laptop,Electronics,East,5,4360,1160.55,3199.45
2024-09-23,Mouse,Accessories,North,6,4920,929.18,3990.82
2022-01-01,Mouse,Accessories,East,3,3474,565.0,2909.0
2022-02-03,Keyboard,Accessories,West,1,930,222.5,707.5
2023-03-14,Tablet,Electronics,South,7,1421,248.02,1172.98
2022-08-24,Headphones,Accessories,North,2,634,161.1,472.9
2024-07-07,Camera,Electronics,East,1,673,114.42,558.58
2022-04-13,Mouse,Accessories,South,5,3135,787.7,2347.3
2024-05-08,Smartphone,Electronics,East,6,882,184.48,697.52
2024-09-10,Smartphone,Electronics,East,4,1192,212.77,979.23
2024-06-18,Printer,Office,South,3,390,112.08,277.92
2024-09-10,Tablet,Electronics,North,1,834,95.54,738.46
2022-05-06,Smartphone,Electronics,East,6,612,83.75,528.25
2024-06-18,Headphones,Accessories,West,9,8073,710.23,7362.77
2023-10-29,Keyboard,Accessories,North,8,2640,723.88,1916.12
2023-11-13,Smartphone,Electronics,North,3,3234,440.7,2793.3
2022-08-21,Monitor,Accessories,West,5,4435,355.51,4079.49
2024-03-04,Smartwatch,Electronics,North,2,2302,305.07,1996.93
2022-04-17,Camera,Electronics,East,6,1728,307.44,1420.56
2023-12-20,Laptop,Electronics,East,4,228,54.05,173.95
2022-03-19,Tablet,Electronics,West,6,3450,705.74,2744.26
2024-07-07,Smartphone,Electronics,South,8,7456,1702.48,5753.52
2023-04-30,Smartphone,Electronics,West,6,4728,705.85,4022.15
2024-03-22,Smartwatch,Electronics,North,7,945,124.62,820.38
2022-03-08,Laptop,Electronics,North,4,296,65.05,230.95
2023-09-15,Smartphone,Electronics,West,4,640,149.89,490.11
2023-03-01,Tablet,Electronics,North,1,797,65.27,731.73
2023-10-24,Monitor,Accessories,North,4,1456,431.89,1024.11
2024-04-22,Monitor,Accessories,South,6,4038,364.11,3673.89
2023-06-27,Tablet,Electronics,West,7,5656,355.81,5300.19
2023-04-13,Mouse,Accessories,West,4,3876,302.37,3573.63
2023-05-19,Keyboard,Accessories,South,6,1002,114.7,887.3
2024-11-15,Headphones,Accessories,East,9,2187,413.76,1773.24
2023-12-25,Mouse,Accessories,North,6,7146,1627.42,5518.58
2022-03-31,Keyboard,Accessories,South,1,189,14.88,174.12
2024-04-24,Monitor,Accessories,East,5,940,266.02,673.98
2022-01-10,Headphones,Accessories,North,1,951,127.58,823.42
2022-11-17,Printer,Office,East,2,124,27.42,96.58
2024-06-29,Mouse,Accessories,West,9,7506,594.28,6911.72
2022-11-14,Monitor,Accessories,West,7,8176,2308.76,5867.24
2023-08-11,Smartphone,Electronics,East,5,2125,632.68,1492.32
2024-05-22,Headphones,Accessories,North,1,967,59.98,907.02
2022-03-19,Headphones,Accessories,South,5,270,29.41,240.59
2022-10-23,Keyboard,Accessories,West,9,10035,1486.3,8548.7
2023-02-26,Printer,Office,North,8,6792,1125.23,5666.77
2024-10-03,Printer,Office,East,1,714,99.13,614.87
2022-07-17,Smartphone,Electronics,South,5,765,157.64,607.36
2024-11-04,Headphones,Accessories,East,7,4221,358.02,3862.98
2023-02-24,Laptop,Electronics,North,4,2108,576.48,1531.52
2024-08-08,Monitor,Accessories,North,9,10530,2387.63,8142.37
2024-05-14,Keyboard,Accessories,South,6,3396,914.17,2481.83
2022-01-15,Monitor,Accessories,North,4,1060,213.05,846.95
2022-05-10,Tablet,Electronics,East,5,480,73.07,406.93
2022-03-10,Headphones,Accessories,West,3,2529,285.65,2243.35
2022-01-23,Smartwatch,Electronics,East,8,4792,511.97,4280.03
2024-09-19,Smartwatch,Electronics,East,8,8056,605.8,7450.2
2024-06-06,Tablet,Electronics,North,4,4228,947.76,3280.24
2024-10-10,Tablet,Electronics,East,1,653,93.78,559.22
2024-03-24,Tablet,Electronics,North,9,7452,1212.51,6239.49
2023-07-21,Mouse,Accessories,East,4,4128,1156.71,2971.29
2022-07-21,Tablet,Electronics,West,5,5090,1201.56,3888.44
2022-09-01,Camera,Electronics,North,5,4930,387.33,4542.67
2023-04-20,Smartwatch,Electronics,South,6,2610,434.37,2175.63
2023-12-11,Laptop,Electronics,North,3,2139,415.84,1723.16
2024-09-29,Tablet,Electronics,South,1,226,55.4,170.6
2023-11-20,Smartwatch,Electronics,West,2,2244,212.08,2031.92
2023-07-15,Monitor,Accessories,East,6,3150,578.87,2571.13
2023-12-24,Laptop,Electronics,South,7,3388,347.19,3040.81
2023-08-13,Laptop,Electronics,East,8,8736,580.31,8155.69
2022-04-24,Smartphone,Electronics,South,2,1102,176.53,925.47
2024-07-13,Monitor,Accessories,East,3,2640,199.97,2440.03
2022-06-11,Printer,Office,West,3,2547,300.74,2246.26
2024-10-28,Laptop,Electronics,North,7,728,64.82,663.18
2022-11-24,Camera,Electronics,South,7,3444,607.44,2836.56
2024-10-03,Camera,Electronics,West,5,3140,853.66,2286.34
2024-03-24,Smartphone,Electronics,East,3,435,129.27,305.73
2024-06-28,Keyboard,Accessories,East,4,856,72.99,783.01
2022-05-31,Printer,Office,North,2,112,23.33,88.67
2024-03-25,Headphones,Accessories,North,3,2247,507.79,1739.21
2023-01-31,Keyboard,Accessories,West,2,1512,298.73,1213.27
2024-06-23,Mouse,Accessories,South,5,4915,1196.6,3718.4
2023-08-16,Mouse,Accessories,South,3,2709,663.54,2045.46
2023-06-10,Tablet,Electronics,North,7,1239,118.36,1120.64
2023-05-09,Tablet,Electronics,West,2,572,86.16,485.84
2022-05-08,Smartwatch,Electronics,North,2,1708,93.25,1614.75
2024-11-06,Smartwatch,Electronics,North,4,360,42.66,317.34
2022-12-08,Camera,Electronics,North,6,3822,388.34,3433.66
2022-09-25,Camera,Electronics,North,6,4680,932.97,3747.03
2024-07-10,Camera,Electronics,North,5,2520,487.18,2032.82
2024-03-29,Smartwatch,Electronics,North,2,2138,619.29,1518.71
2022-01-11,Keyboard,Accessories,West,3,2529,169.6,2359.4
2022-04-08,Keyboard,Accessories,East,1,236,29.33,206.67
2024-01-21,Tablet,Electronics,West,6,2730,636.48,2093.52
2023-04-27,Headphones,Accessories,North,3,3021,872.49,2148.51
2024-11-06,Smartwatch,Electronics,North,2,244,16.78,227.22
2022-05-11,Camera,Electronics,South,8,728,120.06,607.94
2022-10-02,Mouse,Accessories,North,3,453,89.49,363.51
2022-01-12,Laptop,Electronics,South,1,379,84.38,294.62
2023-01-09,Tablet,Electronics,West,3,2130,510.69,1619.31
2023-05-04,Monitor,Accessories,North,8,4120,710.11,3409.89
2024-09-07,Smartwatch,Electronics,South,7,3150,299.7,2850.3
2022-05-17,Smartwatch,Electronics,East,7,2688,603.07,2084.93
2023-08-17,Tablet,Electronics,East,2,1752,501.19,1250.81
2023-09-07,Keyboard,Accessories,North,7,7308,948.4,6359.6
2022-05-11,Tablet,Electronics,North,3,2007,160.84,1846.16
2023-05-12,Tablet,Electronics,West,7,7224,479.23,6744.77
2023-05-08,Monitor,Accessories,South,9,6939,1249.31,5689.69
2023-02-18,Smartphone,Electronics,East,7,5516,1475.67,4040.33
2022-01-29,Printer,Office,South,2,2224,116.47,2107.53
2023-01-12,Laptop,Electronics,South,5,3985,824.4,3160.6
2022-01-03,Camera,Electronics,North,7,2723,638.26,2084.74
2022-10-20,Tablet,Electronics,North,2,746,170.75,575.25
2024-08-21,Laptop,Electronics,West,5,3170,245.25,2924.75
2023-12-11,Smartwatch,Electronics,East,5,550,63.11,486.89
2022-08-14,Tablet,Electronics,North,8,480,132.45,347.55
2024-06-03,Printer,Office,East,4,3284,354.4,2929.6
2024-01-23,Smartwatch,Electronics,South,2,1748,183.75,1564.25
2023-11-20,Headphones,Accessories,North,8,824,240.84,583.16
2022-03-03,Headphones,Accessories,North,4,1872,448.46,1423.54
2024-02-20,Tablet,Electronics,West,3,627,103.98,523.02
2024-08-09,Camera,Electronics,East,9,5661,1104.02,4556.98
2022-06-19,Camera,Electronics,North,3,2910,765.47,2144.53
2024-09-01,Tablet,Electronics,South,9,9036,1087.46,7948.54
2024-08-30,Tablet,Electronics,West,5,4815,338.31,4476.69
2022-08-12,Mouse,Accessories,South,1,1187,206.28,980.72
2022-08-04,Headphones,Accessories,East,3,3339,732.92,2606.08
2024-02-20,Tablet,Electronics,East,1,620,165.43,454.57
2023-02-26,Camera,Electronics,West,5,2025,414.42,1610.58
2024-11-20,Printer,Office,East,5,3030,811.92,2218.08
2023-08-12,Smartwatch,Electronics,North,5,655,166.69,488.31
2022-01-17,Printer,Office,West,2,2238,294.54,1943.46
2023-04-12,Smartphone,Electronics,South,8,3312,811.31,2500.69
2023-07-26,Printer,Office,East,9,9387,1271.64,8115.36
2024-01-01,Mouse,Accessories,West,6,5790,1285.21,4504.79
2023-12-06,Laptop,Electronics,South,6,2700,527.97,2172.03
2023-12-05,Smartwatch,Electronics,East,8,2072,555.06,1516.94
2024-10-27,Keyboard,Accessories,North,3,2991,716.54,2274.46
2024-08-04,Laptop,Electronics,East,6,5568,958.59,4609.41
2023-02-01,Smartwatch,Electronics,North,7,5509,1648.74,3860.26
2024-06-02,Printer,Office,West,7,5922,1323.1,4598.9
2024-04-28,Smartphone,Electronics,South,4,4380,362.81,4017.19
2022-03-25,Tablet,Electronics,South,5,1760,272.68,1487.32
2024-10-05,Headphones,Accessories,North,9,5571,1523.81,4047.19
2024-12-19,Tablet,Electronics,South,2,1082,182.1,899.9
2022-07-18,Camera,Electronics,East,1,569,138.11,430.89
2023-06-11,Mouse,Accessories,North,8,3416,697.42,2718.58
2024-10-13,Printer,Office,West,1,570,57.07,512.93
2023-08-07,Monitor,Accessories,East,6,3300,386.92,2913.08
2022-12-04,Laptop,Electronics,South,8,2584,568.77,2015.23
2024-02-18,Monitor,Accessories,South,9,7650,2204.44,5445.56
2024-12-05,Headphones,Accessories,West,8,3600,272.51,3327.49
2023-12-15,Monitor,Accessories,West,6,846,190.87,655.13
2023-08-12,Smartphone,Electronics,West,1,51,9.36,41.64
2024-05-20,Smartwatch,Electronics,South,6,7056,586.91,6469.09
2024-06-05,Smartwatch,Electronics,West,2,384,38.41,345.59
2022-01-09,Laptop,Electronics,South,8,2928,663.54,2264.46
2023-12-17,Camera,Electronics,West,7,1904,352.86,1551.14
2022-09-08,Tablet,Electronics,East,2,2314,312.07,2001.93
2022-01-22,Printer,Office,South,4,1028,192.13,835.87
2024-09-04,Headphones,Accessories,South,9,8307,1326.23,6980.77
2024-01-20,Printer,Office,West,9,1539,203.54,1335.46
2022-11-03,Tablet,Electronics,West,7,2506,537.98,1968.02
2023-07-03,Smartphone,Electronics,West,6,5778,1232.54,4545.46
2024-01-25,Tablet,Electronics,East,9,10188,2165.78,8022.22
2024-05-11,Monitor,Accessories,North,1,952,157.7,794.3
2024-01-02,Smartwatch,Electronics,West,8,3624,750.86,2873.14
2023-02-24,Keyboard,Accessories,South,8,7968,1551.12,6416.88
2024-07-20,Mouse,Accessories,South,2,1254,250.09,1003.91
2023-06-14,Printer,Office,West,3,705,196.05,508.95
2022-04-10,Mouse,Accessories,West,1,916,223.5,692.5
2024-10-01,Printer,Office,North,2,848,129.96,718.04
2022-05-10,Monitor,Accessories,East,8,2240,313.17,1926.83
2022-01-28,Monitor,Accessories,South,1,940,120.35,819.65
2023-04-05,Headphones,Accessories,West,5,1550,203.51,1346.49
2023-09-22,Keyboard,Accessories,South,7,2352,256.4,2095.6
2024-08-29,Smartwatch,Electronics,North,9,1638,183.75,1454.25
2023-11-18,Camera,Electronics,North,6,7164,1442.72,5721.28
2023-09-12,Mouse,Accessories,East,1,205,54.54,150.46
2023-05-26,Keyboard,Accessories,North,2,766,49.23,716.77
2023-04-30,Keyboard,Accessories,North,1,168,17.84,150.16
2024-11-01,Mouse,Accessories,South,1,1058,207.55,850.45
2022-05-06,Keyboard,Accessories,South,5,1455,423.81,1031.19
2023-05-10,Camera,Electronics,East,2,2224,364.04,1859.96
2022-11-04,Smartphone,Electronics,West,7,1400,80.49,1319.51
2022-05-09,Smartphone,Electronics,East,7,7567,2213.18,5353.82
2022-11-07,Tablet,Electronics,East,6,3396,987.68,2408.32
2023-08-11,Smartwatch,Electronics,East,2,704,135.63,568.37
2024-10-21,Tablet,Electronics,East,9,7767,2172.19,5594.81
2024-10-06,Mouse,Accessories,West,5,2050,157.13,1892.87
2023-08-08,Monitor,Accessories,North,9,10458,2799.48,7658.52
2022-01-19,Camera,Electronics,South,4,4700,619.26,4080.74
2024-04-30,Smartphone,Electronics,North,2,892,222.51,669.49
2023-12-26,Laptop,Electronics,East,8,6968,1479.09,5488.91
2024-04-07,Laptop,Electronics,North,7,1344,300.88,1043.12
2022-10-18,Camera,Electronics,West,1,354,65.99,288.01
2024-04-21,Monitor,Accessories,South,3,3051,662.23,2388.77
2024-03-26,Camera,Electronics,South,3,402,106.87,295.13
2022-10-31,Monitor,Accessories,North,5,3570,517.82,3052.18
2023-03-03,Keyboard,Accessories,North,7,3829,876.35,2952.65
2023-02-03,Mouse,Accessories,North,7,4676,242.64,4433.36
2023-04-15,Keyboard,Accessories,East,3,1119,317.36,801.64
2023-05-09,Smartphone,Electronics,East,4,4228,764.3,3463.7
2022-01-02,Headphones,Accessories,North,8,1240,251.2,988.8
2024-11-28,Keyboard,Accessories,North,9,3591,342.18,3248.82
2022-02-05,Printer,Office,West,8,3952,451.08,3500.92
2024-06-05,Keyboard,Accessories,South,6,3648,1050.08,2597.92
2024-11-15,Monitor,Accessories,North,5,3875,768.74,3106.26
2023-11-13,Smartwatch,Electronics,West,8,3416,478.9,2937.1
2022-02-19,Tablet,Electronics,West,1,908,222.58,685.42
2024-05-06,Headphones,Accessories,South,4,4532,987.32,3544.68
2023-08-04,Headphones,Accessories,East,4,4168,650.15,3517.85
2023-09-23,Laptop,Electronics,North,3,3543,941.37,2601.63
2024-09-14,Laptop,Electronics,East,6,5124,1078.57,4045.43
2023-03-17,Smartwatch,Electronics,South,9,5751,1196.23,4554.77
2023-09-29,Camera,Electronics,East,2,624,139.64,484.36
2023-12-01,Camera,Electronics,South,1,508,151.29,356.71
2023-09-13,Headphones,Accessories,South,4,4700,914.6,3785.4
2022-03-14,Keyboard,Accessories,West,8,3216,639.78,2576.22
2023-07-15,Laptop,Electronics,West,6,2844,581.0,2263.0
2022-05-29,Smartphone,Electronics,West,5,2385,258.6,2126.4
2023-01-16,Monitor,Accessories,South,8,928,170.05,757.95
2023-09-06,Headphones,Accessories,North,6,4656,673.35,3982.65
2023-03-29,Headphones,Accessories,North,2,330,21.46,308.54
2023-11-01,Camera,Electronics,North,7,1799,274.11,1524.89
2022-08-25,Printer,Office,East,1,1029,173.61,855.39
2022-12-30,Headphones,Accessories,North,8,5432,1619.39,3812.61
2024-09-04,Camera,Electronics,West,5,5785,1191.11,4593.89
2024-01-08,Printer,Office,North,1,1062,272.42,789.58
2022-12-27,Keyboard,Accessories,North,1,163,22.07,140.93
2024-04-14,Smartphone,Electronics,West,9,9162,1625.62,7536.38
2023-02-10,Printer,Office,East,4,1440,130.24,1309.76
2023-07-15,Monitor,Accessories,South,5,1465,149.62,1315.38
2024-10-27,Monitor,Accessories,West,2,366,31.23,334.77
2024-07-19,Camera,Electronics,South,5,3135,277.28,2857.72
2024-03-03,Keyboard,Accessories,North,2,630,161.04,468.96
2024-04-12,Monitor,Accessories,South,1,213,42.94,170.06
2024-06-20,Monitor,Accessories,North,4,3792,1092.85,2699.15
2023-06-21,Mouse,Accessories,East,2,1932,109.07,1822.93
2023-01-25,Keyboard,Accessories,West,4,4152,317.28,3834.72
2024-02-17,Smartphone,Electronics,North,7,3612,529.57,3082.43
2024-09-09,Smartphone,Electronics,East,2,2258,280.76,1977.24
2022-07-09,Camera,Electronics,South,3,594,47.73,546.27
2023-09-01,Headphones,Accessories,West,7,8071,1799.06,6271.94
2024-03-30,Keyboard,Accessories,North,7,5838,631.45,5206.55
2024-12-22,Keyboard,Accessories,North,4,692,181.31,510.69
2024-09-08,Keyboard,Accessories,South,3,1704,309.06,1394.94
2023-01-21,Printer,Office,South,5,3235,941.24,2293.76
2023-10-12,Mouse,Accessories,East,6,4746,545.57,4200.43
2022-08-01,Smartwatch,Electronics,South,8,7600,788.88,6811.12
2023-11-03,Smartphone,Electronics,West,5,1935,128.01,1806.99
2023-12-04,Laptop,Electronics,North,3,1638,306.29,1331.71
2023-06-30,Keyboard,Accessories,West,7,4746,816.6,3929.4
2023-02-01,Smartphone,Electronics,North,8,4824,1187.93,3636.07
2022-05-09,Camera,Electronics,South,1,1193,153.72,1039.28
2023-12-16,Laptop,Electronics,East,2,562,92.94,469.06
2022-03-20,Smartphone,Electronics,North,8,6200,1296.84,4903.16
2024-07-28,Printer,Office,North,8,4128,315.48,3812.52
2022-03-28,Printer,Office,East,5,5405,326.56,5078.44
2024-11-06,Laptop,Electronics,North,3,1371,104.66,1266.34
2023-01-01,Keyboard,Accessories,West,5,1405,194.33,1210.67
2023-03-18,Keyboard,Accessories,North,3,1644,158.32,1485.68
2024-09-18,Mouse,Accessories,West,6,3414,396.92,3017.08
2024-08-19,Laptop,Electronics,East,8,3272,674.57,2597.43
2022-06-18,Smartphone,Electronics,North,3,2655,646.91,2008.09
2022-05-29,Smartwatch,Electronics,West,7,1673,458.32,1214.68
2022-06-09,Tablet,Electronics,East,2,846,145.09,700.91
2023-05-03,Smartphone,Electronics,East,1,985,196.64,788.36
2023-11-17,Smartwatch,Electronics,North,9,7551,894.4,6656.6
2022-02-08,Tablet,Electronics,North,5,855,217.16,637.84
2023-10-23,Camera,Electronics,South,2,396,94.55,301.45
2022-08-24,Tablet,Electronics,West,8,2296,560.48,1735.52
2024-05-09,Monitor,Accessories,North,6,1704,199.94,1504.06
2023-03-12,Smartphone,Electronics,East,2,1180,261.16,918.84
2022-10-05,Smartphone,Electronics,East,3,411,55.73,355.27
2022-01-19,Mouse,Accessories,East,1,745,151.22,593.78
2022-05-09,Printer,Office,West,9,10656,961.3,9694.7
2024-05-23,Mouse,Accessories,South,3,1494,178.5,1315.5
2024-07-11,Camera,Electronics,South,5,1755,358.01,1396.99
2022-08-22,Camera,Electronics,South,9,4941,894.52,4046.48
2024-11-03,Smartwatch,Electronics,North,6,6510,1539.18,4970.82
2024-10-11,Smartphone,Electronics,South,5,5465,719.92,4745.08
2024-11-09,Tablet,Electronics,South,3,3522,285.91,3236.09
2024-04-01,Tablet,Electronics,West,6,1656,139.86,1516.14
2022-07-07,Printer,Office,North,5,1255,257.15,997.85
2023-06-10,Keyboard,Accessories,East,1,1192,320.13,871.87
2023-05-15,Tablet,Electronics,West,5,1925,204.74,1720.26
2022-06-08,Tablet,Electronics,West,8,1688,337.33,1350.67
2023-06-26,Headphones,Accessories,South,1,260,16.81,243.19
2022-01-19,Monitor,Accessories,West,5,4880,1250.66,3629.34
2024-04-10,Keyboard,Accessories,West,7,1134,179.74,954.26
2022-06-10,Laptop,Electronics,North,9,9621,1201.29,8419.71
2023-02-03,Monitor,Accessories,South,4,2836,698.83,2137.17
2023-05-15,Printer,Office,North,9,5859,1153.89,4705.11
2022-09-11,Smartwatch,Electronics,South,2,2044,460.03,1583.97
2023-07-01,Monitor,Accessories,South,1,612,174.52,437.48
2022-02-18,Smartwatch,Electronics,North,3,1890,492.31,1397.69
2023-09-30,Smartwatch,Electronics,East,5,2025,168.82,1856.18
2023-09-04,Printer,Office,South,2,1960,312.06,1647.94
2022-07-07,Camera,Electronics,North,6,4410,893.27,3516.73
2024-07-14,Keyboard,Accessories,West,8,8272,2391.88,5880.12
2022-09-27,Smartwatch,Electronics,West,6,5712,638.29,5073.71
2024-04-20,Smartwatch,Electronics,North,6,1524,178.36,1345.64
2024-05-24,Keyboard,Accessories,North,8,5160,1057.41,4102.59
2024-12-29,Mouse,Accessories,East,4,2956,451.6,2504.4
2023-05-07,Smartphone,Electronics,West,8,7944,2257.73,5686.27
2024-09-10,Camera,Electronics,North,5,1815,535.22,1279.78
2023-03-21,Headphones,Accessories,North,3,2706,546.97,2159.03
2023-05-05,Laptop,Electronics,North,2,1356,144.18,1211.82
2023-07-27,Printer,Office,South,6,6384,1189.19,5194.81
2023-06-13,Smartwatch,Electronics,South,9,4248,964.12,3283.88
2024-05-02,Monitor,Accessories,North,6,3954,676.82,3277.18
2024-04-21,Smartphone,Electronics,South,6,7110,739.6,6370.4
2023-07-25,Headphones,Accessories,South,7,8113,995.03,7117.97
2023-01-26,Headphones,Accessories,North,3,1830,183.62,1646.38
2023-01-11,Keyboard,Accessories,West,4,3732,671.19,3060.81
2024-09-27,Mouse,Accessories,West,6,4062,1087.17,2974.83
2024-12-03,Smartwatch,Electronics,North,1,496,93.31,402.69
2023-08-24,Smartwatch,Electronics,East,4,1104,84.31,1019.69
2023-05-19,Smartphone,Electronics,West,3,2274,662.0,1612.0
2022-06-13,Smartwatch,Electronics,North,8,4456,1106.04,3349.96
2022-08-26,Mouse,Accessories,West,8,4928,1038.18,3889.82
2023-01-22,Smartphone,Electronics,North,4,1740,224.79,1515.21
